"","MSOA11CD","LSOA11CD","OA11CD","LSOA11NM","MSOA11NM","LAD11CD","LAD11NM","LAD11NMW","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUK.msoa","Country of Birth: All categories: Country of birth.msoa","nonUKZoneProp.lsoa","nonUKZoneProp.msoa"
"225","E02001586","E01007729","E00039157","Rotherham 009B","Rotherham 009","E08000018","Rotherham","",4,1.71673819742489,233,79,1620,232,8129,4.87654320987654,2.85397957928404
"226","E02001586","E01007733","E00039155","Rotherham 009F","Rotherham 009","E08000018","Rotherham","",9,3.55731225296443,253,38,1323,232,8129,2.87226001511716,2.85397957928404
"227","E02001586","E01007729","E00039170","Rotherham 009B","Rotherham 009","E08000018","Rotherham","",11,4.64135021097046,237,79,1620,232,8129,4.87654320987654,2.85397957928404
"228","E02001586","E01007733","E00039151","Rotherham 009F","Rotherham 009","E08000018","Rotherham","",5,1.71821305841924,291,38,1323,232,8129,2.87226001511716,2.85397957928404
"229","E02001586","E01007728","E00039154","Rotherham 009A","Rotherham 009","E08000018","Rotherham","",9,2.76073619631902,326,16,1116,232,8129,1.4336917562724,2.85397957928404
"230","E02001586","E01007730","E00039162","Rotherham 009C","Rotherham 009","E08000018","Rotherham","",5,2.27272727272727,220,47,1417,232,8129,3.31686661961891,2.85397957928404
"231","E02001587","E01007720","E00039130","Rotherham 010B","Rotherham 010","E08000018","Rotherham","",7,3.33333333333333,210,41,1504,177,5824,2.72606382978723,3.03914835164835
"232","E02001587","E01007720","E00039132","Rotherham 010B","Rotherham 010","E08000018","Rotherham","",7,2.56410256410256,273,41,1504,177,5824,2.72606382978723,3.03914835164835
"233","E02001587","E01007720","E00039138","Rotherham 010B","Rotherham 010","E08000018","Rotherham","",8,2.56410256410256,312,41,1504,177,5824,2.72606382978723,3.03914835164835
"234","E02001587","E01007720","E00039139","Rotherham 010B","Rotherham 010","E08000018","Rotherham","",9,2.9126213592233,309,41,1504,177,5824,2.72606382978723,3.03914835164835
"235","E02001587","E01007719","E00039104","Rotherham 010A","Rotherham 010","E08000018","Rotherham","",6,2.69058295964126,223,28,1247,177,5824,2.24538893344026,3.03914835164835
"236","E02001587","E01007727","E00039131","Rotherham 010D","Rotherham 010","E08000018","Rotherham","",10,4.0983606557377,244,29,1498,177,5824,1.93591455273698,3.03914835164835
"237","E02001587","E01007721","E00039137","Rotherham 010C","Rotherham 010","E08000018","Rotherham","",13,5.37190082644628,242,79,1575,177,5824,5.01587301587302,3.03914835164835
"238","E02001587","E01007719","E00168791","Rotherham 010A","Rotherham 010","E08000018","Rotherham","",7,2.01729106628242,347,28,1247,177,5824,2.24538893344026,3.03914835164835
"239","E02001587","E01007720","E00039141","Rotherham 010B","Rotherham 010","E08000018","Rotherham","",3,1.15384615384615,260,41,1504,177,5824,2.72606382978723,3.03914835164835
"240","E02001587","E01007719","E00039144","Rotherham 010A","Rotherham 010","E08000018","Rotherham","",8,2.36686390532544,338,28,1247,177,5824,2.24538893344026,3.03914835164835
"241","E02001587","E01007727","E00039134","Rotherham 010D","Rotherham 010","E08000018","Rotherham","",4,1.17302052785924,341,29,1498,177,5824,1.93591455273698,3.03914835164835
"242","E02001587","E01007727","E00039142","Rotherham 010D","Rotherham 010","E08000018","Rotherham","",4,1.54440154440154,259,29,1498,177,5824,1.93591455273698,3.03914835164835
"243","E02001587","E01007720","E00039133","Rotherham 010B","Rotherham 010","E08000018","Rotherham","",7,5,140,41,1504,177,5824,2.72606382978723,3.03914835164835
"244","E02001587","E01007719","E00039135","Rotherham 010A","Rotherham 010","E08000018","Rotherham","",7,2.06489675516224,339,28,1247,177,5824,2.24538893344026,3.03914835164835
"245","E02001587","E01007727","E00039140","Rotherham 010D","Rotherham 010","E08000018","Rotherham","",2,0.595238095238095,336,29,1498,177,5824,1.93591455273698,3.03914835164835
"246","E02001587","E01007721","E00039106","Rotherham 010C","Rotherham 010","E08000018","Rotherham","",29,12.6086956521739,230,79,1575,177,5824,5.01587301587302,3.03914835164835
"247","E02001587","E01007721","E00039105","Rotherham 010C","Rotherham 010","E08000018","Rotherham","",9,3.23741007194245,278,79,1575,177,5824,5.01587301587302,3.03914835164835
"248","E02001587","E01007721","E00039107","Rotherham 010C","Rotherham 010","E08000018","Rotherham","",12,2.5974025974026,462,79,1575,177,5824,5.01587301587302,3.03914835164835
"249","E02001587","E01007727","E00039143","Rotherham 010D","Rotherham 010","E08000018","Rotherham","",9,2.83018867924528,318,29,1498,177,5824,1.93591455273698,3.03914835164835
"250","E02001587","E01007721","E00039101","Rotherham 010C","Rotherham 010","E08000018","Rotherham","",16,4.40771349862259,363,79,1575,177,5824,5.01587301587302,3.03914835164835
"251","E02001588","E01007740","E00039233","Rotherham 011A","Rotherham 011","E08000018","Rotherham","",6,1.875,320,56,1533,211,7151,3.65296803652968,2.9506362746469
"252","E02001588","E01007804","E00039519","Rotherham 011B","Rotherham 011","E08000018","Rotherham","",14,4.9645390070922,282,44,1436,211,7151,3.06406685236769,2.9506362746469
"253","E02001588","E01007805","E00039512","Rotherham 011C","Rotherham 011","E08000018","Rotherham","",4,1.52671755725191,262,31,1430,211,7151,2.16783216783217,2.9506362746469
"254","E02001588","E01007804","E00039520","Rotherham 011B","Rotherham 011","E08000018","Rotherham","",5,1.59235668789809,314,44,1436,211,7151,3.06406685236769,2.9506362746469
"255","E02001588","E01007740","E00039216","Rotherham 011A","Rotherham 011","E08000018","Rotherham","",11,3.57142857142857,308,56,1533,211,7151,3.65296803652968,2.9506362746469
"256","E02001588","E01007804","E00039525","Rotherham 011B","Rotherham 011","E08000018","Rotherham","",11,3.54838709677419,310,44,1436,211,7151,3.06406685236769,2.9506362746469
