"","LSOA11CD","OA11CD","LSOA11NM","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUKZoneProp.lsoa"
"135","E01007683","E00038909","Rotherham 019B",5,1.24378109452736,402,34,1433,2.37264480111654
"136","E01007683","E00038911","Rotherham 019B",13,3.05882352941176,425,34,1433,2.37264480111654
"137","E01007683","E00038929","Rotherham 019B",7,2.38907849829352,293,34,1433,2.37264480111654
"138","E01007684","E00038913","Rotherham 022A",10,3.71747211895911,269,45,1627,2.76582667486171
"139","E01007684","E00038927","Rotherham 022A",10,3.14465408805031,318,45,1627,2.76582667486171
"140","E01007684","E00038949","Rotherham 022A",8,2.58064516129032,310,45,1627,2.76582667486171
"141","E01007684","E00038933","Rotherham 022A",9,2.82131661442006,319,45,1627,2.76582667486171
"142","E01007684","E00038935","Rotherham 022A",8,1.94647201946472,411,45,1627,2.76582667486171
"143","E01007685","E00038916","Rotherham 018A",4,1.49253731343284,268,28,1437,1.94850382741823
"144","E01007685","E00038915","Rotherham 018A",9,2.69461077844311,334,28,1437,1.94850382741823
"145","E01007685","E00038919","Rotherham 018A",5,1.73611111111111,288,28,1437,1.94850382741823
"146","E01007685","E00038912","Rotherham 018A",7,2.51798561151079,278,28,1437,1.94850382741823
"147","E01007685","E00038920","Rotherham 018A",3,1.11524163568773,269,28,1437,1.94850382741823
"148","E01007686","E00038943","Rotherham 019C",3,0.925925925925926,324,32,1417,2.25829216654905
"149","E01007686","E00038951","Rotherham 019C",6,2.8436018957346,211,32,1417,2.25829216654905
"150","E01007686","E00038953","Rotherham 019C",6,2.18181818181818,275,32,1417,2.25829216654905
"151","E01007686","E00038962","Rotherham 019C",15,3.97877984084881,377,32,1417,2.25829216654905
"152","E01007686","E00038960","Rotherham 019C",2,0.869565217391304,230,32,1417,2.25829216654905
"153","E01007687","E00038961","Rotherham 022B",3,0.928792569659443,323,16,1452,1.10192837465565
"154","E01007687","E00038944","Rotherham 022B",5,1.77935943060498,281,16,1452,1.10192837465565
"155","E01007687","E00038956","Rotherham 022B",2,0.711743772241993,281,16,1452,1.10192837465565
"156","E01007687","E00038945","Rotherham 022B",4,1.3986013986014,286,16,1452,1.10192837465565
"157","E01007687","E00038952","Rotherham 022B",2,0.711743772241993,281,16,1452,1.10192837465565
"158","E01007688","E00038950","Rotherham 019D",7,3.25581395348837,215,21,1429,1.46955913226032
"159","E01007688","E00038963","Rotherham 019D",2,0.632911392405063,316,21,1429,1.46955913226032
"160","E01007688","E00038965","Rotherham 019D",1,0.321543408360129,311,21,1429,1.46955913226032
"161","E01007688","E00038966","Rotherham 019D",5,2.04081632653061,245,21,1429,1.46955913226032
"162","E01007688","E00038964","Rotherham 019D",6,1.75438596491228,342,21,1429,1.46955913226032
"163","E01007689","E00038914","Rotherham 022C",8,1.54142581888247,519,21,1537,1.36629798308393
"164","E01007689","E00038921","Rotherham 022C",4,1.16279069767442,344,21,1537,1.36629798308393
"165","E01007689","E00038918","Rotherham 022C",8,2.20994475138122,362,21,1537,1.36629798308393
"166","E01007689","E00038917","Rotherham 022C",1,0.32051282051282,312,21,1537,1.36629798308393
"167","E01007690","E00038948","Rotherham 022D",7,2.02312138728324,346,51,1644,3.1021897810219
"168","E01007690","E00038954","Rotherham 022D",16,4.9079754601227,326,51,1644,3.1021897810219
"169","E01007690","E00038946","Rotherham 022D",15,4.77707006369427,314,51,1644,3.1021897810219
"170","E01007690","E00038947","Rotherham 022D",5,1.56739811912226,319,51,1644,3.1021897810219
"171","E01007690","E00038955","Rotherham 022D",8,2.3598820058997,339,51,1644,3.1021897810219
"172","E01007691","E00038936","Rotherham 012B",4,0.793650793650794,504,35,2045,1.71149144254279
"173","E01007691","E00038938","Rotherham 012B",4,1.03896103896104,385,35,2045,1.71149144254279
"174","E01007691","E00038922","Rotherham 012B",2,0.719424460431655,278,35,2045,1.71149144254279
"175","E01007691","E00038937","Rotherham 012B",15,2.78810408921933,538,35,2045,1.71149144254279
"176","E01007691","E00038942","Rotherham 012B",10,2.94117647058824,340,35,2045,1.71149144254279
"177","E01007692","E00038941","Rotherham 012C",11,4.54545454545455,242,49,1519,3.2258064516129
"178","E01007692","E00038939","Rotherham 012C",15,2.74223034734918,547,49,1519,3.2258064516129
"179","E01007692","E00038940","Rotherham 012C",3,1.10294117647059,272,49,1519,3.2258064516129
"180","E01007692","E00038924","Rotherham 012C",4,2.58064516129032,155,49,1519,3.2258064516129
"181","E01007692","E00038923","Rotherham 012C",16,5.28052805280528,303,49,1519,3.2258064516129
"182","E01007693","E00168763","Rotherham 001A",13,3.30788804071247,393,58,2148,2.70018621973929
"183","E01007693","E00168759","Rotherham 001A",4,2,200,58,2148,2.70018621973929
"184","E01007693","E00038972","Rotherham 001A",6,2.4,250,58,2148,2.70018621973929
"185","E01007693","E00038982","Rotherham 001A",10,2.710027100271,369,58,2148,2.70018621973929
"186","E01007693","E00168760","Rotherham 001A",4,1.73160173160173,231,58,2148,2.70018621973929
"187","E01007693","E00038980","Rotherham 001A",7,3.34928229665072,209,58,2148,2.70018621973929
"188","E01007693","E00168762","Rotherham 001A",9,3.01003344481605,299,58,2148,2.70018621973929
"189","E01007693","E00168761","Rotherham 001A",5,2.53807106598985,197,58,2148,2.70018621973929
"190","E01007694","E00038984","Rotherham 001B",34,8.13397129186603,418,70,1758,3.98179749715586
"191","E01007694","E00038987","Rotherham 001B",14,4.56026058631922,307,70,1758,3.98179749715586
"192","E01007694","E00038981","Rotherham 001B",9,2.00445434298441,449,70,1758,3.98179749715586
"193","E01007694","E00038985","Rotherham 001B",7,2.04678362573099,342,70,1758,3.98179749715586
"194","E01007694","E00038983","Rotherham 001B",6,2.47933884297521,242,70,1758,3.98179749715586
"195","E01007695","E00168765","Rotherham 001C",12,4,300,57,2461,2.31613165379927
"196","E01007695","E00168764","Rotherham 001C",5,1.36986301369863,365,57,2461,2.31613165379927
"197","E01007695","E00038988","Rotherham 001C",8,2.42424242424242,330,57,2461,2.31613165379927
"198","E01007695","E00038989","Rotherham 001C",5,2.05761316872428,243,57,2461,2.31613165379927
"199","E01007695","E00038986","Rotherham 001C",12,3.51906158357771,341,57,2461,2.31613165379927
"200","E01007695","E00168754","Rotherham 001C",7,2.02898550724638,345,57,2461,2.31613165379927
"201","E01007695","E00038973","Rotherham 001C",5,1.82481751824817,274,57,2461,2.31613165379927
"202","E01007695","E00168753","Rotherham 001C",3,1.14068441064639,263,57,2461,2.31613165379927
"203","E01007696","E00038993","Rotherham 007A",4,1.12994350282486,354,30,1478,2.0297699594046
"204","E01007696","E00038992","Rotherham 007A",1,0.625,160,30,1478,2.0297699594046
"205","E01007696","E00038997","Rotherham 007A",6,4.61538461538462,130,30,1478,2.0297699594046
"206","E01007696","E00038995","Rotherham 007A",8,2.20994475138122,362,30,1478,2.0297699594046
"207","E01007696","E00038996","Rotherham 007A",6,2.20588235294118,272,30,1478,2.0297699594046
"208","E01007696","E00038994","Rotherham 007A",5,2.5,200,30,1478,2.0297699594046
"209","E01007697","E00038970","Rotherham 001D",4,1.0752688172043,372,19,1577,1.20481927710843
"210","E01007697","E00038978","Rotherham 001D",2,0.735294117647059,272,19,1577,1.20481927710843
"211","E01007697","E00038979","Rotherham 001D",2,0.647249190938511,309,19,1577,1.20481927710843
"212","E01007697","E00038977","Rotherham 001D",7,1.95530726256983,358,19,1577,1.20481927710843
"213","E01007697","E00038971","Rotherham 001D",4,1.50375939849624,266,19,1577,1.20481927710843
"214","E01007698","E00038974","Rotherham 001E",7,2.34113712374582,299,25,1517,1.6479894528675
"215","E01007698","E00038967","Rotherham 001E",10,2.93255131964809,341,25,1517,1.6479894528675
"216","E01007698","E00038975","Rotherham 001E",3,1.00671140939597,298,25,1517,1.6479894528675
"217","E01007698","E00038991","Rotherham 001E",3,1.01351351351351,296,25,1517,1.6479894528675
"218","E01007698","E00038976","Rotherham 001E",2,0.706713780918728,283,25,1517,1.6479894528675
"219","E01007699","E00039029","Rotherham 027B",14,4.92957746478873,284,64,1826,3.50492880613363
"220","E01007699","E00039030","Rotherham 027B",6,1.76991150442478,339,64,1826,3.50492880613363
"221","E01007699","E00039031","Rotherham 027B",5,1.83150183150183,273,64,1826,3.50492880613363
"222","E01007699","E00039028","Rotherham 027B",19,4.1304347826087,460,64,1826,3.50492880613363
"223","E01007699","E00039026","Rotherham 027B",20,4.25531914893617,470,64,1826,3.50492880613363
"224","E01007700","E00039035","Rotherham 027C",5,1.45772594752187,343,51,1813,2.81301709873138
"225","E01007700","E00039034","Rotherham 027C",7,1.82291666666667,384,51,1813,2.81301709873138
"226","E01007700","E00039039","Rotherham 027C",9,2.28426395939086,394,51,1813,2.81301709873138
"227","E01007700","E00168758","Rotherham 027C",6,3.06122448979592,196,51,1813,2.81301709873138
"228","E01007700","E00168778","Rotherham 027C",15,5,300,51,1813,2.81301709873138
"229","E01007700","E00168779","Rotherham 027C",9,4.59183673469388,196,51,1813,2.81301709873138
"230","E01007701","E00039038","Rotherham 027D",0,0,285,52,1658,3.13630880579011
"231","E01007701","E00039032","Rotherham 027D",19,5.39772727272727,352,52,1658,3.13630880579011
"232","E01007701","E00039037","Rotherham 027D",16,4.23280423280423,378,52,1658,3.13630880579011
"233","E01007701","E00039027","Rotherham 027D",5,1.77304964539007,282,52,1658,3.13630880579011
"234","E01007701","E00039036","Rotherham 027D",12,3.32409972299169,361,52,1658,3.13630880579011
"235","E01007702","E00039005","Rotherham 025B",30,8.35654596100279,359,110,1595,6.89655172413793
"236","E01007702","E00039019","Rotherham 025B",8,2.75862068965517,290,110,1595,6.89655172413793
"237","E01007702","E00038998","Rotherham 025B",9,3.2967032967033,273,110,1595,6.89655172413793
"238","E01007702","E00039017","Rotherham 025B",18,7.43801652892562,242,110,1595,6.89655172413793
"239","E01007702","E00039011","Rotherham 025B",45,10.4408352668213,431,110,1595,6.89655172413793
"240","E01007703","E00039006","Rotherham 025C",7,2.23642172523962,313,49,1237,3.96119644300728
"241","E01007703","E00039012","Rotherham 025C",14,4.76190476190476,294,49,1237,3.96119644300728
"242","E01007703","E00039004","Rotherham 025C",20,5.91715976331361,338,49,1237,3.96119644300728
"243","E01007703","E00039009","Rotherham 025C",8,2.73972602739726,292,49,1237,3.96119644300728
"244","E01007704","E00039015","Rotherham 025D",11,3.9426523297491,279,52,1450,3.58620689655172
"245","E01007704","E00039020","Rotherham 025D",12,3.56083086053412,337,52,1450,3.58620689655172
"246","E01007704","E00039018","Rotherham 025D",14,4.16666666666667,336,52,1450,3.58620689655172
"247","E01007704","E00039010","Rotherham 025D",11,5.31400966183575,207,52,1450,3.58620689655172
"248","E01007704","E00039021","Rotherham 025D",4,1.3745704467354,291,52,1450,3.58620689655172
"249","E01007705","E00039016","Rotherham 025E",7,2.5089605734767,279,47,1522,3.0880420499343
"250","E01007705","E00039013","Rotherham 025E",7,2.22222222222222,315,47,1522,3.0880420499343
"251","E01007705","E00039014","Rotherham 025E",5,1.69491525423729,295,47,1522,3.0880420499343
"252","E01007705","E00039008","Rotherham 025E",17,5.02958579881657,338,47,1522,3.0880420499343
